,Parameter,Value
0,Total Number of Measurements,11567.0
1,Number of All Satellites Mean (No Outliers or Float Solutions Removed),15.3
2,Number of All Satellites Min and Max (No Outliers or Float Solutions Removed),Min: 12 and Max: 33
3,Number of GPS Satellites Mean (No Outliers or Float Solutions Removed),9.5
4,Number of GLONASS Satellites Mean (No Outliers or Float Solutions Removed),5.8
5,Number of GALILEO Satellites Mean (No Outliers or Float Solutions Removed),0.0
6,Number of BEIDOU Satellites Mean (No Outliers or Float Solutions Removed),0.0
7,Mean of HDOP Values (No Outliers or Float Solutions Removed),0.7
8,Mean of VDOP Values (No Outliers or Float Solutions Removed),1.4
9,Mean of PDOP Values (No Outliers or Float Solutions Removed),1.5
10,Mean of TDOP Values (No Outliers or Float Solutions Removed),
11,Mean of GDOP Values (No Outliers or Float Solutions Removed),1.7
12,User-Defined Tolerance Values,"North and East 0.1m, Height 0.2m"
13,Number of Measurements Above the Set Tolerance Values,26
14,Above Tolerance Values Percentage,0.22%
15,Number of All Satellites Mean (Outliers Removed),15.3
16,Number of Satellites Min and Max (Outliers Removed),Min: 12 and Max: 17
17,Number of GPS Satellites Mean (Outliers Removed),9.5
18,Number of GLONASS Satellites Mean (Outliers Removed),5.8
19,Number of GALILEO Satellites Mean (Outliers Removed),0.0
20,Number of BEIDOU Satellites Mean (Outliers Removed),0.0
21,Mean of HDOP Values (Outliers Removed),0.7
22,Mean of VDOP Values (Outliers Removed),1.4
23,Mean of PDOP Values (Outliers Removed),1.5
24,Mean of TDOP Values (Outliers Removed),
25,Mean of GDOP Values (Outliers Removed),1.7
