,Parameter*,METHOD1,METHOD2,METHOD3,METHOD4,METHOD5,Weighing %
0,Fixed Solutions % (With Outliers),99.6,100.0,100.0,99.8,100.0,25.0
1,Above Tolerance Values %,0.4,0.0,0.0,0.2,0.0,5.0
2,Fixed Solutions % (No Outliers),100.0,100.0,100.0,100.0,100.0,5.0
3,Mean of PDOPs,1.3,1.2,1.1,0.9,1.4,2.5
4,Mean of GDOPs,1.5,1.3,1.2,1.1,1.6,2.5
5,Precision: Horizontal RMSE ± (m),0.006,0.006,0.004,0.01,0.006,12.5
6,Precision: Vertical RMSE ± (m),0.019,0.031,0.008,0.018,0.014,7.5
7,Accuracy: Horizontal RMSE ± (m),0.008,0.011,0.014,0.024,0.023,15.0
8,Accuracy: Vertical RMSE ± (m),0.076,0.051,0.083,0.121,0.156,10.0
9,Precision: North Coordinate Std ± (m),0.0047,0.0043,0.0024,0.0061,0.005,5.0
10,Precision: East Coordinate Std ± (m),0.0044,0.0041,0.0026,0.0084,0.0034,5.0
11,Precision: Height Std ± (m),0.0187,0.0311,0.0084,0.0182,0.014,5.0
